2022-02-18T16-04-21,17822,GEISINGER MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,17822,GEISINGER MEDICAL CENTER,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,198,,
2022-03-03T10-04-44,17822,GEISINGER MEDICAL CENTER,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,198,,
2022-03-08T14-40-56,17822,GEISINGER MEDICAL CENTER,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,468,,
2022-03-16T18-51-35,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,22,03/16/2022 12:00:00 AM
