2022-02-18T16-04-21,75701,CHRISTUS MOTHER FRANCES HOSP TYLER,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,48,,
2022-03-03T09-56-49,75701,CHRISTUS MOTHER FRANCES HOSP TYLER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,75701,CHRISTUS MOTHER FRANCES HOSP TYLER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,75701,CHRISTUS MOTHER FRANCES HOSP TYLER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,96,,
2022-03-26T06-57-27,75701,HOSPITALITY HEALTH ER TYLER,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,75701,HOSPITALITY HEALTH ER TYLER,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,75701,HOSPITALITY HEALTH ER TYLER,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,75701,HOSPITALITY HEALTH ER TYLER,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,75701,HOSPITALITY HEALTH ER TYLER,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,75701,HOSPITALITY HEALTH ER TYLER,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,75701,HOSPITALITY HEALTH ER TYLER,NLP,NLP,NLP,48,03/23/2022 12:00:00 AM
