2022-02-18T16-04-21,56362,CENTRACARE CLINIC - PAYNESVILLE,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,56362,CENTRACARE CLINIC - PAYNESVILLE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,56362,CENTRACARE CLINIC - PAYNESVILLE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,56362,CENTRACARE CLINIC - PAYNESVILLE,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,56362,CENTRA CARE HEALTH PAYNESVILLE,NLP,NLP,NLP,34,03/23/2022 12:00:00 AM
