2022-02-18T16-04-21,50849,Adair County Memorial Hospital,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,50849,Adair County Memorial Hospital,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,50849,Adair County Memorial Hospital,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,50849,Adair County Memorial Hospital,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,50849,ADAIR COUNTY MEMORIAL HOSPITAL,NLP,NLP,NLP,16,03/23/2022 12:00:00 AM
