2022-03-08T14-40-56,85711,MD ACUTE,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,85711,CARONDELET ST. JOSEPHS HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,75,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,75,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,75,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,85711,ST JOSEPH'S HOSPITAL,NLP,NLP,NLP,69,03/23/2022 12:00:00 AM
