2022-02-18T16-04-21,56303,CENTRACARE PHARMACY AT ST CLOUD HOS,02/16/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,56303,CENTRACARE PHARMACY AT ST CLOUD HOS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,56303,CENTRACARE PHARMACY AT ST CLOUD HOS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,56303,Centracare: Coborn Cancer Center,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,56303,CENTRACARE PHARMACY AT ST CLOUD HOS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,56303,ST CLOUD HOSPITAL,NLP,NLP,NLP,101,03/16/2022 12:00:00 AM
