2022-02-18T16-04-21,11787,ST CATHERINE OF SIENA MED CTR,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,11787,ST CATHERINE OF SIENA MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,11787,ST CATHERINE OF SIENA MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,11787,ST CATHERINE OF SIENA MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,11787,ST CATHERINE OF SIENA HOSPITAL,NLP,NLP,NLP,82,03/23/2022 12:00:00 AM
