2022-02-18T16-04-21,11772,Long Island Community Hospital,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,11772,Long Island Community Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,11772,Long Island Community Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,11772,Long Island Community Hospital,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,121,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,121,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,121,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,11772,LONG ISLAND COMMUNITY HOSPITAL,NLP,NLP,NLP,120,03/16/2022 12:00:00 AM
