2022-02-18T16-04-21,25702,ST. MARYS MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,25702,ST. MARYS MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,132,,
2022-03-03T10-04-44,25702,ST. MARYS MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,132,,
2022-03-08T14-40-56,25702,ST. MARYS MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,132,,
2022-03-16T18-51-35,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,71,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,71,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,71,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,58,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,25702,PHARMERICA - HUNTINGTON 7126,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,25702,ST MARY'S MEDICAL CENTER,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
