2022-03-08T14-40-56,35406,FIRST CARE FUSIONS,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,35406,University Health Service Pharmacy,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35406,University Health Service Pharmacy,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35406,University Health Service Pharmacy,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35406,University Health Service Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35406,University Health Service Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35406,University Health Service Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35406,FIRST CARE FUSIONS,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35406,University Health Service Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35406,FIRST CARE FUSIONS,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35406,University Health Service Pharmacy,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
