2022-03-08T14-40-56,85016,Amber Specialty Pharmacy Phoenix,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,85016,PHOENIX CHILDREN'S HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,85016,AMBER PHCY PHOENIX,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,85016,PHOENIX INDIAN MEDICAL CENTER,NLP,NLP,NLP,223,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,85016,PHOENIX CHILDREN'S HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,85016,PHOENIX INDIAN MEDICAL CENTER,NLP,NLP,NLP,223,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,85016,AMBER PHCY PHOENIX,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,85016,PHOENIX CHILDREN'S HOSPITAL,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,85016,PHOENIX INDIAN MEDICAL CENTER,NLP,NLP,NLP,223,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,85016,AMBER PHCY PHOENIX,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,85016,PHOENIX INDIAN MEDICAL CENTER,NLP,NLP,NLP,221,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,85016,PHOENIX CHILDREN'S HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,85016,PHOENIX INDIAN MEDICAL CENTER,NLP,NLP,NLP,221,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,85016,PHOENIX CHILDREN'S HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,85016,PHOENIX INDIAN MEDICAL CENTER,NLP,NLP,NLP,221,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,85016,PHOENIX CHILDREN'S HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,85016,PHOENIX INDIAN MEDICAL CENTER,NLP,NLP,NLP,221,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,85016,PHOENIX CHILDREN'S HOSPITAL,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
