2022-02-18T16-04-21,29303,SPARTANBURG REGIONAL MEDICAL CENTER,02/18/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,29303,SPARTANBURG REGIONAL MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,29303,SPARTANBURG REGIONAL MEDICAL CENTER,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,29303,SPARTANBURG REGIONAL MEDICAL CENTER,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,29303,White Oak Pharmacy,NLP,NLP,NLP,40,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,29303,SPARTANBURG MEDICAL CENTER,NLP,NLP,NLP,155,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,29303,White Oak Pharmacy,NLP,NLP,NLP,40,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,29303,SPARTANBURG MEDICAL CENTER,NLP,NLP,NLP,155,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,29303,White Oak Pharmacy,NLP,NLP,NLP,40,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,29303,SPARTANBURG MEDICAL CENTER,NLP,NLP,NLP,155,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,29303,SPARTANBURG MEDICAL CENTER,NLP,NLP,NLP,152,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,29303,White Oak Pharmacy,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,29303,SPARTANBURG MEDICAL CENTER,NLP,NLP,NLP,152,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,29303,White Oak Pharmacy,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
