2022-02-18T16-04-21,32547,Emerald Coast Infec. Diseases Med,02/17/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,32547,Emerald Coast Infec. Diseases Med,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,32547,Emerald Coast Infec. Diseases Med,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,144,,
2022-03-08T14-40-56,32547,Emerald Coast Infec. Diseases Med,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,144,,
2022-03-16T18-51-35,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,32547,IV STAT INC,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32547,IV STAT INC,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32547,IV STAT INC,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32547,HCA FLORIDA FORT WALTON-DESTIN HOSPITAL,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,32547,IV STAT INC,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
