2022-02-18T16-04-21,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,30,,
2022-03-03T09-56-49,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,,
2022-03-03T10-04-44,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,,
2022-03-08T14-40-56,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,90,,
2022-03-16T18-51-35,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,70503,OCHSNER LAFAYETTE GENERAL MEDICAL CENTER,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
