2022-02-18T16-04-21,41701,ARH HAZARD ARH REGIONAL MED CTR,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,96,,
2022-02-18T16-04-21,41701,PRIMARY CARE CENTERS OF EKY HAZARD,02/18/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,41701,ARH HAZARD ARH REGIONAL MED CTR,02/25/2022 12:00:00 AM,02/17/2022 12:00:00 AM,198,,
2022-03-03T09-56-49,41701,PRIMARY CARE CENTERS OF EKY HAZARD,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,41701,PRIMARY CARE CENTERS OF EKY HAZARD,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,66,,
2022-03-03T10-04-44,41701,ARH HAZARD ARH REGIONAL MED CTR,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,198,,
2022-03-08T14-40-56,41701,ARH HAZARD ARH REGIONAL MED CTR,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,300,,
2022-03-08T14-40-56,41701,PRIMARY CARE CENTERS OF EKY HAZARD,03/07/2022 12:00:00 AM,02/23/2022 12:00:00 AM,264,,
2022-03-16T18-51-35,41701,Primary Care Centers of Eastern Kentucky,NLP,NLP,NLP,198,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,41701,HAZARD ARH REGIONAL MEDICAL CENTER,NLP,NLP,NLP,187,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,41701,Primary Care Centers of Eastern Kentucky,NLP,NLP,NLP,198,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,41701,HAZARD ARH REGIONAL MEDICAL CENTER,NLP,NLP,NLP,187,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,41701,Primary Care Centers of Eastern Kentucky,NLP,NLP,NLP,198,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,41701,HAZARD ARH REGIONAL MEDICAL CENTER,NLP,NLP,NLP,187,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,41701,HAZARD ARH REGIONAL MEDICAL CENTER,NLP,NLP,NLP,178,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,41701,Primary Care Centers of Eastern Kentucky,NLP,NLP,NLP,198,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,41701,HAZARD ARH REGIONAL MEDICAL CENTER,NLP,NLP,NLP,178,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,41701,Primary Care Centers of Eastern Kentucky,NLP,NLP,NLP,198,03/16/2022 12:00:00 AM
