2022-02-18T16-04-21,63368,PROGRESS WEST HEALTHCARE CENTER,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,63368,PROGRESS WEST HEALTHCARE CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,72,,
2022-03-03T10-04-44,63368,PROGRESS WEST HEALTHCARE CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,72,,
2022-03-08T14-40-56,63368,PROGRESS WEST HEALTHCARE CENTER,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,63368,PROGRESS WEST HOSPITAL,NLP,NLP,NLP,378,03/23/2022 12:00:00 AM
