2022-02-18T16-04-21,53538,FORT HEALTHCARE,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,53538,FORT HEALTHCARE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,53538,FORT HEALTHCARE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,53538,FORT HEALTHCARE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,49,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,49,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,49,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,48,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,53538,FORT MEMORIAL HOSPITAL,NLP,NLP,NLP,47,03/23/2022 12:00:00 AM
