2022-02-18T16-04-21,21208,American Infusion Services,02/17/2022 12:00:00 AM,,18,,
2022-03-03T09-56-49,21208,American Infusion Services,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,78,,
2022-03-03T10-04-44,21208,American Infusion Services,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,21208,American Infusion Services,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,114,,
2022-03-26T06-57-27,21208,COVID Treatment Initiative,NLP,NLP,NLP,224,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,21208,COVID Treatment Initiative,NLP,NLP,NLP,224,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,21208,COVID Treatment Initiative,NLP,NLP,NLP,224,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,21208,COVID Treatment Initiative,NLP,NLP,NLP,224,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,21208,COVID Treatment Initiative,NLP,NLP,NLP,224,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,21208,COVID Treatment Initiative,NLP,NLP,NLP,224,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,21208,COVID Treatment Initiative,NLP,NLP,NLP,224,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,21208,COVID Treatment Initiative,NLP,NLP,NLP,224,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,21208,COVID Treatment Initiative,NLP,NLP,NLP,213,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,21208,COVID Treatment Initiative,NLP,NLP,NLP,213,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,21208,COVID Treatment Initiative,NLP,NLP,NLP,213,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,21208,COVID Treatment Initiative,NLP,NLP,NLP,213,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,21208,COVID Treatment Initiative,NLP,NLP,NLP,213,03/30/2022 12:00:00 AM
