2022-03-08T14-40-56,33409,CDR Health; West Gate Park and Recr,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,528,,
2022-03-16T18-51-35,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,264,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,264,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,264,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,858,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,849,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,33409,West Gate Park & Recreation Center - RAR,NLP,NLP,NLP,849,03/23/2022 12:00:00 AM
