2022-03-08T14-40-56,78418,VITALCARE TELEMED AND C19 TEST UNIT,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,48,,
2022-03-18T11-17-38,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,78418,VitalCare Telemedicine and C19 test unit,NLP,NLP,NLP,56,03/16/2022 12:00:00 AM
