2022-03-08T14-40-56,59711,Community Hospital Anaconda,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,59711,COMMUNITY HOSPITAL OF ANACONDA,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
