2022-02-18T16-04-21,63640,PARKLAND HEALTH CENTER FARMINGTON,02/16/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,63640,PARKLAND HEALTH CENTER FARMINGTON,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,78,,
2022-03-03T09-56-49,63640,SE MO MENTAL HEALTH CENTER,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,63640,Great Mines Health Center,02/22/2022 12:00:00 AM,,12,,
2022-03-03T10-04-44,63640,SE MO MENTAL HEALTH CENTER,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,63640,Great Mines Health Center,02/22/2022 12:00:00 AM,02/28/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,63640,PARKLAND HEALTH CENTER FARMINGTON,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,63640,PARKLAND HEALTH CENTER FARMINGTON,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,63640,SE MO MENTAL HEALTH CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,63640,Great Mines Health Center,02/22/2022 12:00:00 AM,02/28/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,63640,PARKLAND HEALTH CENTER,NLP,NLP,NLP,107,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,63640,PARKLAND HEALTH CENTER,NLP,NLP,NLP,107,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63640,PARKLAND HEALTH CENTER,NLP,NLP,NLP,107,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63640,SOUTHEAST MISSOURI MENTAL HLTH CTR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,63640,PARKLAND HEALTH CENTER,NLP,NLP,NLP,105,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63640,SOUTHEAST MISSOURI MENTAL HLTH CTR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63640,PARKLAND HEALTH CENTER,NLP,NLP,NLP,105,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63640,SOUTHEAST MISSOURI MENTAL HLTH CTR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63640,PARKLAND HEALTH CENTER,NLP,NLP,NLP,105,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63640,PARKLAND HEALTH CENTER,NLP,NLP,NLP,105,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63640,SOUTHEAST MISSOURI MENTAL HLTH CTR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63640,PARKLAND HEALTH CENTER,NLP,NLP,NLP,105,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63640,SOUTHEAST MISSOURI MENTAL HLTH CTR,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
