2022-02-18T16-04-21,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/16/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-03T09-56-49,38834,Physicians Urgent Care,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,38834,MAGNOLIA REGIONAL HEALTH CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,38834,Physicians Urgent Care,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,38834,MAGNOLIA REGIONAL HEALTH CENTER,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,38834,Physicians Urgent Care,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,38834,MAGNOLIA REGIONAL HEALTH CENTER,NLP,NLP,NLP,42,03/23/2022 12:00:00 AM
