2022-03-08T14-40-56,01772,PROCARE LTC OF MA,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,01772,PROCARE LTC PHCY,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,01772,PROCARE LTC PHCY,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,01772,PROCARE LTC PHCY,NLP,NLP,NLP,21,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,01772,PROCARE LTC PHCY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,01772,PROCARE LTC PHCY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,01772,PROCARE LTC PHCY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,01772,PROCARE LTC PHCY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,01772,PROCARE LTC PHCY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,01772,PROCARE LTC PHCY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,01772,PROCARE LTC PHCY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,01772,PROCARE LTC PHCY,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
