2022-02-18T16-04-21,59101,BILLINGS CLINIC HOSPITAL,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,59101,BILLINGS CLINIC HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-03T09-56-49,59101,ST. VINCENTS HOSPITAL PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,59101,BILLINGS CLINIC HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,59101,ST. VINCENTS HOSPITAL PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,59101,BILLINGS CLINIC HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,59101,ST. VINCENTS HOSPITAL PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,44,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,44,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,44,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,59101,ST VINCENT HEALTHCARE,NLP,NLP,NLP,44,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,59101,BILLINGS CLINIC HOSPITAL,NLP,NLP,NLP,39,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,59101,ST VINCENT HEALTHCARE,NLP,NLP,NLP,44,03/16/2022 12:00:00 AM
