2022-02-18T16-04-21,59901,LOGAN HEALTH MAIN HOSPITAL,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,59901,LOGAN HEALTH MAIN HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,59901,LOGAN HEALTH MAIN HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,59901,LOGAN HEALTH MAIN HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,59901,LOGAN HEALTH MEDICAL CENTER,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
