2022-02-18T16-04-21,35068,NORWOOD CLINIC PLAZA INTERNAL MEDIC,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,35068,NORWOOD CLINIC PLAZA INTERNAL MEDIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,35068,NORWOOD CLINIC PLAZA INTERNAL MEDIC,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,35068,NORWOOD CLINIC PLAZA INTERNAL MEDIC,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,35068,Norwood Clinic After Hours,NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
