2022-02-18T16-04-21,67337,COFFEYVILLE REG MED CTR,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,67337,COFFEYVILLE REG MED CTR,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,67337,COFFEYVILLE REG MED CTR,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,67337,COFFEYVILLE REG MED CTR,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,67337,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
