2022-03-08T14-40-56,57325,SANFORD CHAMBERLAIN HOSPITAL,03/07/2022 12:00:00 AM,,12,,
2022-03-16T18-51-35,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,57325,SANFORD CHAMBERLAIN MEDICAL CENTER,NLP,NLP,NLP,2,03/23/2022 12:00:00 AM
