2022-02-18T16-04-21,35758,APPROXIE HEALTH,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,35758,APPROXIE HEALTH,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,35758,FLEXCARE INFUSION CENTERS,03/01/2022 12:00:00 AM,,6,,
2022-03-03T10-04-44,35758,APPROXIE HEALTH,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,35758,APPROXIE HEALTH,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,35758,FLEXCARE INFUSION CENTERS,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,35758,QUICKCARE,03/07/2022 12:00:00 AM,,24,,
2022-03-16T18-51-35,35758,FlexCare Infusion Center,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,35758,"QC Wellness, LLC",NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35758,FlexCare Infusion Center,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35758,"QC Wellness, LLC",NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35758,FlexCare Infusion Center,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35758,"QC Wellness, LLC",NLP,NLP,NLP,2,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35758,"QC Wellness, LLC",NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,35758,FlexCare Infusion Center,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35758,"QC Wellness, LLC",NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35758,FlexCare Infusion Center,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35758,"QC Wellness, LLC",NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35758,FlexCare Infusion Center,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35758,"QC Wellness, LLC",NLP,NLP,NLP,26,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35758,FlexCare Infusion Center,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
