2022-03-08T14-40-56,33155,Juan Alberto Prieto MD PA,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,33155,"Campillo Medical Wellness, Corp",03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,33155,KERALTY HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33155,KERALTY HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33155,KERALTY HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,33155,KERALTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,33155,KERALTY HOSPITAL,NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,33155,NICKLAUS CHILDREN'S HOSPITAL,NLP,NLP,NLP,17,03/23/2022 12:00:00 AM
