2022-02-18T16-04-21,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,19010,MAIN LINE HEALTH-BRYN MAWR HOSPITAL,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,66,,
2022-03-16T18-51-35,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,85,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,85,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,85,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,19010,MAIN LINE HOSPITAL BRYN MAWR CAMPUS,NLP,NLP,NLP,161,03/23/2022 12:00:00 AM
