2022-03-08T14-40-56,75013,SPECIALTY RX_EXCEL RX CONSULTING,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,75013,FASTDOC URGENT CARE,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,48,,
2022-03-28T06-21-17,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,75013,"Excel Rx Consulting, LLC",NLP,NLP,NLP,24,03/23/2022 12:00:00 AM
