2022-03-08T14-40-56,97420,BAY CLINIC PEDIATRICS,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,17,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,97420,BAY AREA HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
