2022-02-18T16-04-21,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/14/2022 12:00:00 AM,02/16/2022 12:00:00 AM,18,,
2022-03-03T09-56-49,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,65,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,70301,THIBODAUX REGIONAL MEDICAL CENTER,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
