2022-02-18T16-04-21,21701,FREDERICK HEALTH HOSPITAL,02/17/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,21701,FREDERICK HEALTH HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,84,,
2022-03-03T10-04-44,21701,FREDERICK HEALTH HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,84,,
2022-03-08T14-40-56,21701,FREDERICK HEALTH HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,114,,
2022-03-16T18-51-35,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,94,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,94,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,94,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,21701,FREDERICK HEALTH HOSPITAL,NLP,NLP,NLP,115,03/16/2022 12:00:00 AM
