2022-02-18T16-04-21,04543,LINCOLNHEALTH,02/17/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,04543,LINCOLNHEALTH,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,04543,LINCOLNHEALTH,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,04543,LINCOLNHEALTH,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,04543,LINCOLN HEALTH,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
