2022-02-18T16-04-21,53142,AURORA MEDICAL CENTER KENOSHA,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,53142,AURORA MEDICAL CENTER KENOSHA,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,53142,AURORA MEDICAL CENTER KENOSHA,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,53142,AURORA MEDICAL CENTER KENOSHA,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,53142,AURORA MEDICAL CTR KENOSHA,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,53142,AURORA MEDICAL CTR KENOSHA,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,53142,AURORA MEDICAL CTR KENOSHA,NLP,NLP,NLP,54,03/09/2022 12:00:00 AM
2022-03-24T13-46-29,53142,AURORA MEDICAL CTR KENOSHA,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,53142,AURORA MEDICAL CTR KENOSHA,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,53142,AURORA MEDICAL CTR KENOSHA,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,53142,AURORA MEDICAL CTR KENOSHA,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,53142,AURORA MEDICAL CTR KENOSHA,NLP,NLP,NLP,54,03/23/2022 12:00:00 AM
