2022-02-18T16-04-21,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-07-01T04-15-22,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,70,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,70,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,70,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,70,06/30/2022 12:00:00 AM
2022-07-06T04-15-19,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,70,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,70,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,70,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,88,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,88,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,88,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,88,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,88,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,88,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,88,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,88,07/11/2022 12:00:00 AM
2022-07-17T04-15-18,18505,WRIGHT CTR FOR COM HLTH SCRNTN PRAC,NLP,NLP,NLP,97,07/14/2022 12:00:00 AM
