2022-02-18T16-04-21,54915,ST ELIZABETH HOSP AFFNITY MED COVID,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,54915,ST ELIZABETH HOSP AFFNITY MED COVID,02/28/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,54915,ST ELIZABETH HOSP AFFNITY MED COVID,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,54915,ST ELIZABETH HOSP AFFNITY MED COVID,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,15,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,54915,ST ELIZABETH HOSP AFFNITY MED COVID,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
