2022-02-18T16-04-21,21921,ChristianaCare Union Hospital (UHCC,02/17/2022 12:00:00 AM,,5,182,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,21921,ChristianaCare Union Hospital (UHCC,02/24/2022 12:00:00 AM,,20,5,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,21921,ChristianaCare Union Hospital (UHCC,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,21921,ChristianaCare Union Hospital (UHCC,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,21921,ChristianaCare Union Hospital (UHCC,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
