2022-02-18T16-04-21,02919,ATMED TREATMENT CENTER; INC.,02/16/2022 12:00:00 AM,,25,,
2022-03-03T09-56-49,02919,ATMED TREATMENT CENTER; INC.,02/23/2022 12:00:00 AM,,50,39,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,02919,ATMED TREATMENT CENTER; INC.,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,36,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,02919,ATMED TREATMENT CENTER; INC.,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,12,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,131,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,112,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,112,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,98,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,98,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,84,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,84,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,68,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,65,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,65,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,53,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,53,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,43,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,43,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,93,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,93,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,93,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,93,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,71,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,67,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,02919,ATMED TREATMENT CENTER; INC.,NLP,NLP,NLP,57,03/30/2022 12:00:00 AM
