2022-02-18T16-04-21,19046,HOLY REDEEMER HOSP AND MED CNTR,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,19046,HOLY REDEEMER HOSP AND MED CNTR,02/23/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,19046,HOLY REDEEMER HOSP AND MED CNTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,19046,HOLY REDEEMER HOSP AND MED CNTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,15,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,19046,HOLY REDEEMER HOSP AND MED CNTR,NLP,NLP,NLP,15,04/12/2022 12:00:00 AM
