2022-02-18T16-04-21,36027,MEDICAL CENTER BARBOUR,02/15/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,36027,MEDICAL CENTER BARBOUR,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,36027,MEDICAL CENTER BARBOUR,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,36027,MEDICAL CENTER BARBOUR,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,,
2022-04-08T05-48-29,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/16/2022 12:00:00 AM
2022-04-18T05-31-10,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,36027,MEDICAL CENTER BARBOUR,NLP,NLP,NLP,43,04/20/2022 12:00:00 AM
