2022-02-18T16-04-21,11968,Stony Brook Southampton Hospital,02/17/2022 12:00:00 AM,,15,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,11968,Stony Brook Southampton Hospital,02/24/2022 12:00:00 AM,,30,30,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,11968,Stony Brook Southampton Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,11968,Stony Brook Southampton Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,29,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,11968,Stony Brook Southampton Hospital,NLP,NLP,NLP,28,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,11968,Stony Brook Southampton Hospital,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,11968,Stony Brook Southampton Hospital,NLP,NLP,NLP,28,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,11968,Stony Brook Southampton Hospital,NLP,NLP,NLP,28,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,11968,Stony Brook Southampton Hospital,NLP,NLP,NLP,28,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,11968,Stony Brook Southampton Hospital,NLP,NLP,NLP,28,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,11968,Stony Brook Southampton Hospital,NLP,NLP,NLP,28,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,11968,Stony Brook Southampton Hospital,NLP,NLP,NLP,28,03/17/2022 12:00:00 AM
