2022-03-08T14-40-56,89434,NORTHERN NEVADA MEDICAL CENTER,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,10,10,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,89434,NORTHERN NEVADA MEDICAL CENTER,NLP,NLP,NLP,10,03/31/2022 12:00:00 AM
