2022-02-18T16-04-21,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,02/14/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,02/21/2022 12:00:00 AM,,35,,
2022-03-03T10-04-44,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,35,,
2022-03-08T14-40-56,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,35,,
2022-03-16T18-51-35,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-28T06-21-17,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-29T08-50-48,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-30T09-27-07,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-31T08-53-07,67214,VIA CHRISTI HOSPITAL ST. FRANCIS,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
