2022-02-18T16-04-21,16335,MEADVILLE MEDICAL CENTER,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,16335,MEADVILLE MEDICAL CENTER,02/28/2022 12:00:00 AM,,35,20,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,16335,MEADVILLE MEDICAL CENTER,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,20,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,16335,MEADVILLE MEDICAL CENTER,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,50,35,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-31T15-09-22,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-01T06-54-45,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-02T06-05-59,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-03T05-51-54,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-04T05-38-24,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-05T05-48-33,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-06T05-45-18,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-07T05-34-07,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-08T05-48-29,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,49,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,49,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,16335,MEADVILLE MEDICAL CENTER,NLP,NLP,NLP,49,04/07/2022 12:00:00 AM
