2022-02-18T16-04-21,35045,ASCENSION ST VINCENTS CHILTON,02/15/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,35045,ASCENSION ST VINCENTS CHILTON,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,35045,ASCENSION ST VINCENTS CHILTON,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,35045,ASCENSION ST VINCENTS CHILTON,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,,
2022-04-30T05-15-55,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/06/2022 12:00:00 AM
2022-05-11T06-51-12,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/10/2022 12:00:00 AM
2022-05-14T08-49-14,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/10/2022 12:00:00 AM
2022-05-15T05-54-13,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/10/2022 12:00:00 AM
2022-05-16T05-54-24,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/10/2022 12:00:00 AM
2022-05-17T05-27-38,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,35045,ASCENSION ST VINCENTS CHILTON,NLP,NLP,NLP,25,05/19/2022 12:00:00 AM
