2022-03-18T09-58-11,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,33317,Partner RX; LLC,NLP,NLP,NLP,21,03/14/2022 12:00:00 AM
2022-03-24T13-46-29,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,33317,Partner RX; LLC,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
