2022-02-18T16-04-21,52242,UNIV OF IOWA HOSPITALS CLINICS,02/16/2022 12:00:00 AM,,65,,
2022-03-03T09-56-49,52242,UNIV OF IOWA HOSPITALS CLINICS,02/24/2022 12:00:00 AM,,85,,
2022-03-03T10-04-44,52242,UNIV OF IOWA HOSPITALS CLINICS,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,85,,
2022-03-08T14-40-56,52242,UNIV OF IOWA HOSPITALS CLINICS,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,85,,
2022-03-16T18-51-35,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-28T06-21-17,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-29T08-50-48,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-30T09-27-07,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-31T08-53-07,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-03-31T15-09-22,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/15/2022 12:00:00 AM
2022-04-01T06-54-45,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,85,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,113,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,113,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,113,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,113,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,113,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,130,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,130,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,122,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,122,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,122,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,122,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,122,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,122,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,126,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,123,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,105,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,111,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,111,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,111,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,136,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,131,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,52242,UNIV OF IOWA HOSPITALS CLINICS,NLP,NLP,NLP,124,04/27/2022 12:00:00 AM
