2022-03-03T09-56-49,31620,SOUTHWELL MEDICAL,02/18/2022 12:00:00 AM,,50,50,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,31620,SOUTHWELL MEDICAL,03/02/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,50,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,31620,SOUTHWELL MEDICAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,90,90,03/04/2022 12:00:00 AM
2022-03-29T08-50-48,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-03-30T09-27-07,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-03-31T08-53-07,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-03-31T15-09-22,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-01T06-54-45,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-02T06-05-59,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-03T05-51-54,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-04T05-38-24,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-05T05-48-33,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-06T05-45-18,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-07T05-34-07,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-08T05-48-29,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-09T05-41-09,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-10T09-31-27,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-11T07-06-23,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,90,03/04/2022 12:00:00 AM
2022-04-12T07-06-55,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,88,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,87,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,86,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,86,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,84,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,84,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,84,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,84,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,84,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,84,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,84,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,82,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,81,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,81,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,81,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,81,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,80,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,77,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,77,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,31620,SOUTHWELL MEDICAL,NLP,NLP,NLP,75,04/29/2022 12:00:00 AM
