2022-02-18T16-04-21,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/14/2022 12:00:00 AM,,15,15,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/28/2022 12:00:00 AM,,60,33,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,33,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,70301,THIBODAUX REGIONAL HEALTH SYSTEM,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,60,58,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-29T08-50-48,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-30T09-27-07,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-31T08-53-07,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-03-31T15-09-22,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-01T06-54-45,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-02T06-05-59,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-03T05-51-54,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-04T05-38-24,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-05T05-48-33,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-06T05-45-18,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-07T05-34-07,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-08T05-48-29,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-09T05-41-09,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-10T09-31-27,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-11T07-06-23,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-12T07-06-55,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-13T09-20-57,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-13T11-55-39,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-14T09-18-06,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-15T06-03-51,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-16T05-33-42,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-17T05-32-24,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-18T05-31-10,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-19T05-39-24,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-20T05-27-37,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-21T05-29-54,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,03/11/2022 12:00:00 AM
2022-04-22T05-26-18,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-04-28T09-22-45,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-04-29T05-13-54,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-04-30T05-15-55,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-05-01T05-13-51,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-05-02T06-02-50,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-05-03T06-05-23,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-05-04T05-12-02,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-05-05T09-49-47,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-05-06T06-12-41,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-05-07T05-45-31,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,88,04/21/2022 12:00:00 AM
2022-05-18T05-40-23,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,70301,THIBODAUX REGIONAL HEALTH SYSTEM,NLP,NLP,NLP,86,05/17/2022 12:00:00 AM
