2022-02-18T16-04-21,25951,SUMMERS COUNTY ARH HOSPITAL,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,25951,SUMMERS COUNTY ARH HOSPITAL,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,25951,SUMMERS COUNTY ARH HOSPITAL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,25951,SUMMERS COUNTY ARH HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-04-02T06-05-59,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-09T05-41-09,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-10T09-31-27,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-11T07-06-23,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-12T07-06-55,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-13T09-20-57,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-13T11-55-39,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-14T09-18-06,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-15T06-03-51,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-16T05-33-42,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-17T05-32-24,25951,SUMMERS COUNTY ARH HOSPITAL,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
