2022-02-18T16-04-21,36305,FLOWERS HOSPITAL,02/15/2022 12:00:00 AM,,10,0,02/15/2022 12:00:00 AM
2022-04-05T05-48-33,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-06T05-45-18,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-07T05-34-07,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-08T05-48-29,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-09T05-41-09,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-10T09-31-27,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-11T07-06-23,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-12T07-06-55,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T09-20-57,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T11-55-39,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-14T09-18-06,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-15T06-03-51,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-16T05-33-42,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-17T05-32-24,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-18T05-31-10,36305,FLOWERS HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
