2022-02-18T16-04-21,26354,GRAFTON CITY HOSPITAL,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,26354,GRAFTON CITY HOSPITAL,02/22/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,26354,GRAFTON CITY HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,26354,GRAFTON CITY HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,,
2022-06-18T04-15-18,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-22T04-15-20,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-23T04-15-16,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-24T04-15-26,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-25T04-15-18,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-26T04-15-17,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-27T04-15-31,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-28T04-15-44,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
2022-06-29T04-15-40,26354,Tygart Valley Total Care Clinic,NLP,NLP,NLP,,06/17/2022 12:00:00 AM
