2022-02-18T16-04-21,17403,WELLSPAN YORK HOSPITAL,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,17403,WELLSPAN YORK HOSPITAL,02/28/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,17403,WELLSPAN YORK HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,17403,WELLSPAN YORK HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,,
2022-06-28T04-15-44,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-03T14-40-38,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-04T04-15-29,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-05T04-15-18,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-06T04-15-19,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-07T04-15-17,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-07T13-15-18,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-08T04-15-19,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-09T04-15-19,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-10T04-15-26,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-11T04-15-25,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-12T04-15-22,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-13T04-15-22,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-14T04-15-29,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-15T04-15-46,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-17T04-15-18,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-18T04-15-21,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-18T07-55-19,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-19T04-15-25,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-20T04-15-41,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-21T04-15-40,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-22T04-15-29,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
2022-07-23T04-15-20,17403,WELLSPAN YORK HOSPITAL,NLP,NLP,NLP,33,06/27/2022 12:00:00 AM
