2022-02-18T16-04-21,27804,NASH UNC HEALTHCARE,02/16/2022 12:00:00 AM,,30,30,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,27804,NASH UNC HEALTHCARE,02/23/2022 12:00:00 AM,,60,30,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,27804,NASH UNC HEALTHCARE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,60,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,27804,NASH UNC HEALTHCARE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,60,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,27804,NASH UNC HEALTHCARE,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,27804,NASH UNC HEALTHCARE,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,27804,NASH UNC HEALTHCARE,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,27804,NASH UNC HEALTHCARE,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,27804,NASH UNC HEALTHCARE,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,27804,NASH UNC HEALTHCARE,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-29T08-50-48,27804,NASH UNC HEALTHCARE,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
