2022-03-08T14-40-56,98531,WASHINGTON PARK DIRECT CARE,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,5,,
2022-04-15T06-03-51,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,20,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,20,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,20,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,20,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,20,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,20,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,18,04/22/2022 12:00:00 AM
2022-04-28T09-22-45,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,16,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,15,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,15,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,15,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,15,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,15,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,15,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,15,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,14,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,14,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,14,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,14,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,98531,PROVIDENCE CENTRALIA,NLP,NLP,NLP,12,05/20/2022 12:00:00 AM
