2022-03-08T14-40-56,49036,COMMUNITY HEALTH CTR OF BRANCH CO,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-27T05-48-57,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-28T05-34-18,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-29T05-31-58,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-30T05-32-42,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-05-31T08-56-01,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-06-01T05-37-50,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-06-02T07-54-10,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-06-03T08-50-11,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-06-04T19-11-08,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-06-05T08-48-25,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-06-06T06-32-51,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
2022-06-07T05-36-41,49036,COMMUNITY HEALTH CTR OF BRANCH CO,NLP,NLP,NLP,11,05/24/2022 12:00:00 AM
