2022-03-08T14-40-56,56256,MADISON HEALTHCARE SERVICES,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,03/04/2022 12:00:00 AM
2022-03-18T09-58-11,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
2022-03-28T06-21-17,56256,MADISON HEALTHCARE SERVICES,NLP,NLP,NLP,10,03/14/2022 12:00:00 AM
