2022-02-18T16-04-21,52544,MERCYONE CENTERVILLE MEDICAL CENTER,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,52544,MERCYONE CENTERVILLE MEDICAL CENTER,02/24/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,52544,MERCYONE CENTERVILLE MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,52544,MERCYONE CENTERVILLE MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-23T08-41-43,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,52544,MERCYONE CENTERVILLE MEDICAL CENTER,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
