2022-02-18T16-04-21,28602,CATAWBA VALLEY MEDICAL CENTER,02/16/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,28602,CATAWBA VALLEY MEDICAL CENTER,02/23/2022 12:00:00 AM,,90,,
2022-03-03T10-04-44,28602,CATAWBA VALLEY MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,90,,
2022-03-08T14-40-56,28602,CATAWBA VALLEY MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,90,,
2022-04-30T05-15-55,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-04T05-12-02,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-07T05-45-31,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-08T10-02-59,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-09T05-08-14,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
2022-05-10T06-06-54,28602,CAROLINA ONCOLOGY SPECIALISTS,NLP,NLP,NLP,10,05/03/2022 12:00:00 AM
