2022-02-18T16-04-21,54848,LADYSMITH CENTER - COVID,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,54848,LADYSMITH CENTER - COVID,02/28/2022 12:00:00 AM,,10,,
2022-03-03T10-04-44,54848,LADYSMITH CENTER - COVID,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,54848,LADYSMITH CENTER - COVID,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,10,,
2022-05-21T05-54-21,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,54848,MMC - LADYSMITH HOSPITAL,NLP,NLP,NLP,6,05/19/2022 12:00:00 AM
